,RM,LSTAT,CRIM,ZN,INDUS,CHAS,NOX,AGE,DIS,RAD,TAX,PTRATIO,B,Prices
35,6.251,16.44,9.92485,0.0,18.1,0.0,0.74,96.6,2.198,24.0,666.0,20.2,388.52,12.6
36,6.027,14.33,0.22438,0.0,9.69,0.0,0.585,79.7,2.4982,6.0,391.0,19.2,396.9,16.8
37,6.739,4.69,0.06911,45.0,3.44,0.0,0.437,30.8,6.4798,5.0,398.0,15.2,389.71,30.5
38,6.326,10.97,0.22969,0.0,10.59,0.0,0.489,52.5,4.3549,4.0,277.0,18.6,394.87,24.4
39,5.0,31.99,22.5971,0.0,18.1,0.0,0.7,89.5,1.5184,24.0,666.0,20.2,396.9,7.4
40,7.802,1.92,1.83377,0.0,19.58,1.0,0.605,98.2,2.0407,5.0,403.0,14.7,389.61,50.0
41,6.03,7.88,0.04741,0.0,11.93,0.0,0.573,80.8,2.505,1.0,273.0,21.0,396.9,11.9
42,6.242,10.74,5.82401,0.0,18.1,0.0,0.532,64.7,3.4242,24.0,666.0,20.2,396.9,23.0
43,5.998,8.43,0.04981,21.0,5.64,0.0,0.439,21.4,6.8147,4.0,243.0,16.8,396.9,23.4
44,5.928,15.76,0.17134,0.0,10.01,0.0,0.547,88.2,2.4631,6.0,432.0,17.8,344.91,18.3
45,5.957,20.62,73.5341,0.0,18.1,0.0,0.679,100.0,1.8026,24.0,666.0,20.2,16.45,8.8
46,6.152,26.45,15.1772,0.0,18.1,0.0,0.74,100.0,1.9142,24.0,666.0,20.2,9.32,8.7
47,3.863,13.33,13.5222,0.0,18.1,0.0,0.631,100.0,1.5106,24.0,666.0,20.2,131.42,23.1
48,7.853,3.81,0.0351,95.0,2.68,0.0,0.4161,33.2,5.118,4.0,224.0,14.7,392.78,48.5
49,4.963,14.0,3.69695,0.0,18.1,0.0,0.718,91.4,1.7523,24.0,666.0,20.2,316.03,21.9
50,5.593,12.5,0.20608,22.0,5.86,0.0,0.431,76.5,7.9549,7.0,330.0,19.1,372.49,17.6
51,5.852,29.97,9.91655,0.0,18.1,0.0,0.693,77.8,1.5004,24.0,666.0,20.2,338.16,6.3
52,5.663,8.05,0.04301,80.0,1.91,0.0,0.413,21.9,10.5857,4.0,334.0,22.0,382.8,18.2
53,5.39,20.85,8.15174,0.0,18.1,0.0,0.7,98.9,1.7281,24.0,666.0,20.2,396.9,11.5
54,6.286,8.94,0.09512,0.0,12.83,0.0,0.437,45.0,4.5026,5.0,398.0,18.7,383.23,21.4
55,5.565,17.16,8.79212,0.0,18.1,0.0,0.584,70.6,2.0635,24.0,666.0,20.2,3.65,11.7
56,7.454,3.11,0.01538,90.0,3.75,0.0,0.394,34.2,6.3361,3.0,244.0,15.9,386.34,44.0
57,6.163,11.34,0.11504,0.0,2.89,0.0,0.445,69.6,3.4952,2.0,276.0,18.0,391.83,21.4
58,7.831,4.45,0.05602,0.0,2.46,0.0,0.488,53.6,3.1992,3.0,193.0,17.8,392.63,50.0
59,8.297,7.44,0.57834,20.0,3.97,0.0,0.575,67.0,2.4216,5.0,264.0,13.0,384.54,50.0
60,6.092,17.09,0.22212,0.0,10.01,0.0,0.547,95.4,2.548,6.0,432.0,17.8,396.9,18.7
61,7.185,5.39,0.0837,45.0,3.44,0.0,0.437,38.9,4.5667,5.0,398.0,15.2,396.9,34.9
62,5.741,13.15,0.14932,25.0,5.13,0.0,0.453,66.2,7.2254,8.0,284.0,19.7,395.11,18.7
63,5.599,16.51,0.84054,0.0,8.14,0.0,0.538,85.7,4.4546,4.0,307.0,21.0,303.42,13.9
64,5.602,16.2,0.21977,0.0,6.91,0.0,0.448,62.0,6.0877,3.0,233.0,17.9,396.9,19.4
65,6.066,6.43,1.34284,0.0,19.58,0.0,0.605,100.0,1.7573,5.0,403.0,14.7,353.89,24.3
66,7.765,7.56,0.06588,0.0,2.46,0.0,0.488,83.3,2.741,3.0,193.0,17.8,395.56,39.8
67,5.965,13.83,0.85204,0.0,8.14,0.0,0.538,89.2,4.0123,4.0,307.0,21.0,392.53,19.6
68,6.575,4.98,0.00632,18.0,2.31,0.0,0.538,65.2,4.09,1.0,296.0,15.3,396.9,24.0
69,8.375,3.32,1.51902,0.0,19.58,1.0,0.605,93.9,2.162,5.0,403.0,14.7,388.45,50.0
70,5.949,8.26,0.62976,0.0,8.14,0.0,0.538,61.8,4.7075,4.0,307.0,21.0,396.9,20.4
71,5.872,15.37,0.13058,0.0,10.01,0.0,0.547,73.1,2.4775,6.0,432.0,17.8,338.63,20.4
72,6.202,14.52,37.6619,0.0,18.1,0.0,0.679,78.7,1.8629,24.0,666.0,20.2,18.82,10.9
73,7.007,5.5,0.0566,0.0,3.41,0.0,0.489,86.3,3.4217,2.0,270.0,17.8,396.9,23.6
74,6.103,23.29,7.05042,0.0,18.1,0.0,0.614,85.1,2.0218,24.0,666.0,20.2,2.52,13.4
75,7.267,6.05,0.10469,40.0,6.41,1.0,0.447,49.0,4.7872,4.0,254.0,17.6,389.25,33.2
76,6.176,12.04,0.13158,0.0,10.01,0.0,0.547,72.5,2.7301,6.0,432.0,17.8,393.3,21.2
77,6.249,10.59,0.04294,28.0,15.04,0.0,0.464,77.3,3.615,4.0,270.0,18.2,396.9,20.6
78,6.861,3.33,0.03502,80.0,4.95,0.0,0.411,27.9,5.1167,4.0,245.0,19.2,396.9,28.5
79,6.98,5.04,0.0578,0.0,2.46,0.0,0.488,58.4,2.829,3.0,193.0,17.8,396.9,37.2
80,6.167,12.33,0.1396,0.0,8.56,0.0,0.52,90.0,2.421,5.0,384.0,20.9,392.69,20.1
81,6.879,9.93,0.62356,0.0,6.2,1.0,0.507,77.7,3.2721,8.0,307.0,17.4,390.39,27.5
82,6.019,12.92,0.23912,0.0,9.69,0.0,0.585,65.3,2.4091,6.0,391.0,19.2,396.9,21.2
83,6.376,6.87,0.18159,0.0,7.38,0.0,0.493,54.3,4.5404,5.0,287.0,19.6,396.9,23.1
84,6.208,15.17,13.9134,0.0,18.1,0.0,0.713,95.0,2.2222,24.0,666.0,20.2,100.63,11.7
85,6.415,6.12,0.34109,0.0,7.38,0.0,0.493,40.1,4.7211,5.0,287.0,19.6,396.9,25.0
86,5.807,16.03,0.21719,0.0,10.59,1.0,0.489,53.8,3.6526,4.0,277.0,18.6,390.94,22.4
87,6.474,12.27,0.12802,0.0,8.56,0.0,0.52,97.1,2.4329,5.0,384.0,20.9,395.24,19.8
88,6.657,21.22,14.0507,0.0,18.1,0.0,0.597,100.0,1.5275,24.0,666.0,20.2,35.05,17.2
89,7.135,4.45,0.01778,95.0,1.47,0.0,0.403,13.9,7.6534,3.0,402.0,17.0,384.3,32.9
90,6.209,7.14,0.03871,52.5,5.32,0.0,0.405,31.3,7.3172,6.0,293.0,16.6,396.9,23.2
91,5.786,14.15,0.18836,0.0,6.91,0.0,0.448,33.3,5.1004,3.0,233.0,17.9,396.9,20.0
92,7.82,3.57,0.08187,0.0,2.89,0.0,0.445,36.9,3.4952,2.0,276.0,18.0,393.53,43.8
93,6.229,15.55,0.26363,0.0,8.56,0.0,0.52,91.2,2.5451,5.0,384.0,20.9,391.23,19.4
94,8.704,5.12,0.61154,20.0,3.97,0.0,0.647,86.9,1.801,5.0,264.0,13.0,389.7,50.0
95,6.14,10.27,0.08707,0.0,12.83,0.0,0.437,45.8,4.0905,5.0,398.0,18.7,386.96,20.8
96,4.903,29.29,2.77974,0.0,19.58,0.0,0.871,97.8,1.3459,5.0,403.0,14.7,396.9,11.8
97,5.914,18.33,0.31827,0.0,9.9,0.0,0.544,83.2,3.9986,4.0,304.0,18.4,390.7,17.8
98,6.108,9.16,0.33983,22.0,5.86,0.0,0.431,34.9,8.0555,7.0,330.0,19.1,390.18,24.3
99,7.489,1.73,1.46336,0.0,19.58,0.0,0.605,90.8,1.9709,5.0,403.0,14.7,374.43,50.0
100,5.935,6.58,1.05393,0.0,8.14,0.0,0.538,29.3,4.4986,4.0,307.0,21.0,386.85,23.1
101,6.565,9.51,0.04297,52.5,5.32,0.0,0.405,22.9,7.3172,6.0,293.0,16.6,371.72,24.8
102,6.041,7.7,0.35114,0.0,7.38,0.0,0.493,49.9,4.7211,5.0,287.0,19.6,396.9,20.4
103,5.404,23.98,0.37578,0.0,10.59,1.0,0.489,88.6,3.665,4.0,277.0,18.6,395.24,19.3
104,6.254,10.45,0.14231,0.0,10.01,0.0,0.547,84.2,2.2565,6.0,432.0,17.8,388.74,18.5
105,6.416,9.04,0.09178,0.0,4.05,0.0,0.51,84.1,2.6463,5.0,296.0,16.6,395.5,23.6
106,6.642,9.69,0.07013,0.0,13.89,0.0,0.55,85.1,3.4211,5.0,276.0,16.4,392.78,28.7
107,6.631,9.54,0.52058,0.0,6.2,1.0,0.507,76.5,4.148,8.0,307.0,17.4,388.45,25.1
108,5.926,13.59,0.27957,0.0,9.69,0.0,0.585,42.6,2.3817,6.0,391.0,19.2,396.9,24.5
109,7.313,13.44,19.6091,0.0,18.1,0.0,0.671,97.9,1.3163,24.0,666.0,20.2,396.9,15.0
110,5.731,13.61,0.14476,0.0,10.01,0.0,0.547,65.2,2.7592,6.0,432.0,17.8,391.5,19.3
111,5.39,21.14,0.2896,0.0,9.69,0.0,0.585,72.9,2.7986,6.0,391.0,19.2,396.9,19.7
112,5.707,12.01,0.17331,0.0,9.69,0.0,0.585,54.0,2.3817,6.0,391.0,19.2,396.9,21.8
113,5.92,13.65,0.09065,20.0,6.96,1.0,0.464,61.5,3.9175,3.0,223.0,18.6,391.34,20.7
114,5.456,11.69,0.80271,0.0,8.14,0.0,0.538,36.6,3.7965,4.0,307.0,21.0,288.99,20.2
115,6.49,5.98,0.06211,40.0,1.25,0.0,0.429,44.4,8.7921,1.0,335.0,19.7,396.9,22.9
116,4.973,12.64,2.63548,0.0,9.9,0.0,0.544,37.8,2.5194,4.0,304.0,18.4,350.45,16.1
117,6.701,16.42,4.81213,0.0,18.1,0.0,0.713,90.0,2.5975,24.0,666.0,20.2,255.23,16.4
118,8.034,2.88,0.02009,95.0,2.68,0.0,0.4161,31.9,5.118,4.0,224.0,14.7,390.55,50.0
119,5.936,16.94,8.20058,0.0,18.1,0.0,0.713,80.3,2.7792,24.0,666.0,20.2,3.5,13.5
120,7.024,1.98,0.03359,75.0,2.95,0.0,0.428,15.8,5.4011,3.0,252.0,18.3,395.62,34.9
121,6.951,9.71,0.35809,0.0,6.2,1.0,0.507,88.5,2.8617,8.0,307.0,17.4,391.7,26.7
122,6.826,4.16,0.06127,40.0,6.41,1.0,0.447,27.6,4.8628,4.0,254.0,17.6,393.45,33.1
123,5.637,18.34,0.88125,0.0,21.89,0.0,0.624,94.7,1.9799,4.0,437.0,21.2,396.9,14.3
124,7.104,8.05,0.01951,17.5,1.38,0.0,0.4161,59.5,9.2229,3.0,216.0,18.6,393.24,33.0
125,5.966,10.13,0.17505,0.0,5.96,0.0,0.499,30.2,3.8473,5.0,279.0,19.2,393.43,24.7
126,6.129,15.12,1.41385,0.0,19.58,1.0,0.871,96.0,1.7494,5.0,403.0,14.7,321.02,17.0
127,5.706,12.43,0.05023,35.0,6.06,0.0,0.4379,28.4,6.6407,1.0,304.0,16.9,394.02,17.1
128,6.193,15.17,8.64476,0.0,18.1,0.0,0.693,92.6,1.7912,24.0,666.0,20.2,396.9,13.8
129,5.713,22.6,1.13081,0.0,8.14,0.0,0.538,94.1,4.233,4.0,307.0,21.0,360.17,12.7
130,7.163,6.36,0.41238,0.0,6.2,0.0,0.504,79.9,3.2157,8.0,307.0,17.4,372.08,31.6
131,6.398,7.79,4.54192,0.0,18.1,0.0,0.77,88.0,2.5182,24.0,666.0,20.2,374.56,25.0
132,6.096,10.26,0.63796,0.0,8.14,0.0,0.538,84.5,4.4619,4.0,307.0,21.0,380.02,18.2
133,7.82,3.76,0.03578,20.0,3.33,0.0,0.4429,64.5,4.6947,5.0,216.0,14.9,387.31,45.4
134,5.782,15.94,0.24522,0.0,9.9,0.0,0.544,71.7,4.0317,4.0,304.0,18.4,396.9,19.8
135,6.121,8.44,0.07151,0.0,4.49,0.0,0.449,56.8,3.7476,3.0,247.0,18.5,395.15,22.2
136,6.63,4.7,0.03615,80.0,4.95,0.0,0.411,23.4,5.1167,4.0,245.0,19.2,396.9,27.9
137,4.368,30.63,20.0849,0.0,18.1,0.0,0.7,91.2,1.4395,24.0,666.0,20.2,285.83,8.8
138,7.014,14.79,0.7857,20.0,3.97,0.0,0.647,84.6,2.1329,5.0,264.0,13.0,384.07,30.7
139,6.333,7.34,0.06724,0.0,3.24,0.0,0.46,17.2,5.2146,4.0,430.0,16.9,375.21,22.6
140,6.63,6.53,0.05735,0.0,4.49,0.0,0.449,56.1,4.4377,3.0,247.0,18.5,392.3,26.6
141,6.606,7.37,0.09252,30.0,4.93,0.0,0.428,42.2,6.1899,6.0,300.0,16.6,383.78,23.3
142,5.631,29.93,0.21124,12.5,7.87,0.0,0.524,100.0,6.0821,5.0,311.0,15.2,386.63,16.5
143,6.728,18.71,9.51363,0.0,18.1,0.0,0.713,94.1,2.4961,24.0,666.0,20.2,6.68,14.9
144,5.536,23.6,9.18702,0.0,18.1,0.0,0.7,100.0,1.5804,24.0,666.0,20.2,396.9,11.3
145,5.888,14.8,0.0136,75.0,4.0,0.0,0.41,47.6,7.3197,3.0,469.0,21.1,396.9,18.9
146,6.453,8.23,0.01096,55.0,2.25,0.0,0.389,31.9,7.3073,1.0,300.0,15.3,394.72,22.0
147,5.683,22.98,67.9208,0.0,18.1,0.0,0.693,100.0,1.4254,24.0,666.0,20.2,384.97,5.0
148,6.195,13.0,0.10793,0.0,8.56,0.0,0.52,54.4,2.7778,5.0,384.0,20.9,393.49,21.7
149,6.169,5.81,0.1415,0.0,6.91,0.0,0.448,6.6,5.7209,3.0,233.0,17.9,383.37,25.3
150,6.182,9.47,0.19802,0.0,10.59,0.0,0.489,42.4,3.9454,4.0,277.0,18.6,393.63,25.0
151,6.625,6.65,0.12204,0.0,2.89,0.0,0.445,57.8,3.4952,2.0,276.0,18.0,357.98,28.4
152,7.686,3.92,0.29819,0.0,6.2,0.0,0.504,17.0,3.3751,8.0,307.0,17.4,377.51,46.7
153,6.417,6.72,0.08826,0.0,10.81,0.0,0.413,6.6,5.2873,4.0,305.0,19.2,383.73,24.2
154,6.047,17.28,0.95577,0.0,8.14,0.0,0.538,88.8,4.4534,4.0,307.0,21.0,306.38,14.8
155,7.52,7.26,0.53412,20.0,3.97,0.0,0.647,89.4,2.1398,5.0,264.0,13.0,388.37,43.1
156,6.635,4.54,0.49298,0.0,9.9,0.0,0.544,82.5,3.3175,4.0,304.0,18.4,396.9,22.8
157,6.487,5.9,0.1403,22.0,5.86,0.0,0.431,13.0,7.3967,7.0,330.0,19.1,396.28,24.4
158,7.287,4.08,0.04011,80.0,1.52,0.0,0.404,34.1,7.309,2.0,329.0,12.6,396.9,33.3
159,6.438,3.59,0.21409,22.0,5.86,0.0,0.431,8.9,7.3967,7.0,330.0,19.1,377.07,24.8
160,5.277,30.81,16.8118,0.0,18.1,0.0,0.7,98.1,1.4261,24.0,666.0,20.2,396.9,7.2
161,5.961,9.88,0.15876,0.0,10.81,0.0,0.413,17.5,5.2873,4.0,305.0,19.2,376.94,21.7
162,6.297,17.27,5.09017,0.0,18.1,0.0,0.713,91.8,2.3682,24.0,666.0,20.2,385.09,16.1
163,6.142,18.72,1.23247,0.0,8.14,0.0,0.538,91.7,3.9769,4.0,307.0,21.0,396.9,15.2
164,6.211,6.21,0.02875,28.0,15.04,0.0,0.464,28.9,3.6659,4.0,270.0,18.2,396.33,25.0
165,6.144,9.45,0.06888,0.0,2.46,0.0,0.488,62.2,2.5979,3.0,193.0,17.8,396.9,36.2
166,6.081,14.7,6.80117,0.0,18.1,0.0,0.713,84.4,2.7175,24.0,666.0,20.2,396.9,20.0
167,8.266,4.14,0.31533,0.0,6.2,0.0,0.504,78.3,2.8944,8.0,307.0,17.4,385.05,44.8
168,5.709,15.79,2.14918,0.0,19.58,0.0,0.871,98.5,1.6232,5.0,403.0,14.7,261.95,19.4
169,5.349,19.77,24.8017,0.0,18.1,0.0,0.693,96.0,1.7028,24.0,666.0,20.2,396.9,8.3
170,6.616,8.93,0.05479,33.0,2.18,0.0,0.472,58.1,3.37,7.0,222.0,18.4,393.36,28.4
171,6.014,10.53,0.03113,0.0,4.39,0.0,0.442,48.5,8.0136,3.0,352.0,18.8,385.64,17.5
172,5.976,19.01,4.66883,0.0,18.1,0.0,0.713,87.9,2.5806,24.0,666.0,20.2,10.48,12.7
173,6.245,7.54,0.19539,0.0,10.81,0.0,0.413,6.2,5.2873,4.0,305.0,19.2,377.17,23.4
174,6.122,14.1,1.6566,0.0,19.58,0.0,0.871,97.3,1.618,5.0,403.0,14.7,372.8,21.5
175,6.012,12.43,0.08829,12.5,7.87,0.0,0.524,66.6,5.5605,5.0,311.0,15.2,395.6,22.9
176,6.556,4.56,0.12579,45.0,3.44,0.0,0.437,29.1,4.5667,5.0,398.0,15.2,382.84,29.8
177,6.842,6.9,0.65665,20.0,3.97,0.0,0.647,100.0,2.0107,5.0,264.0,13.0,391.93,30.1
178,6.812,4.85,0.21038,20.0,3.33,0.0,0.4429,32.2,4.1007,5.0,216.0,14.9,396.9,35.1
179,6.229,13.11,14.3337,0.0,18.1,0.0,0.614,88.0,1.9512,24.0,666.0,20.2,383.32,21.4
180,6.302,6.72,0.03659,25.0,4.86,0.0,0.426,32.2,5.4007,4.0,281.0,19.0,396.9,24.8
181,7.274,6.62,0.03768,80.0,1.52,0.0,0.404,38.3,7.309,2.0,329.0,12.6,392.2,34.6
182,6.315,7.6,0.0459,52.5,5.32,0.0,0.405,45.6,7.3172,6.0,293.0,16.6,396.9,22.3
183,6.406,19.52,9.72418,0.0,18.1,0.0,0.74,97.2,2.0651,24.0,666.0,20.2,385.96,17.1
184,6.794,21.24,9.82349,0.0,18.1,0.0,0.671,98.8,1.358,24.0,666.0,20.2,396.9,13.3
185,6.727,5.29,0.04113,25.0,4.86,0.0,0.426,33.5,5.4007,4.0,281.0,19.0,396.9,28.0
186,4.88,30.62,14.3337,0.0,18.1,0.0,0.7,100.0,1.5895,24.0,666.0,20.2,372.92,10.2
187,6.824,22.74,11.8123,0.0,18.1,0.0,0.718,76.5,1.794,24.0,666.0,20.2,48.45,8.4
188,6.854,2.98,0.09604,40.0,6.41,0.0,0.447,42.8,4.2673,4.0,254.0,17.6,396.9,32.0
189,6.358,11.22,0.1029,30.0,4.93,0.0,0.428,52.9,7.0355,6.0,300.0,16.6,372.75,22.2
190,7.333,7.79,0.66351,20.0,3.97,0.0,0.647,100.0,1.8946,5.0,264.0,13.0,383.29,36.0
191,6.004,14.27,0.07165,0.0,25.65,0.0,0.581,84.1,2.1974,2.0,188.0,19.1,377.67,20.3
192,5.272,16.14,2.44668,0.0,19.58,0.0,0.871,94.0,1.7364,5.0,403.0,14.7,88.63,13.1
193,5.926,18.13,15.5757,0.0,18.1,0.0,0.58,71.0,2.9084,24.0,666.0,20.2,368.74,19.1
194,5.935,34.02,13.6781,0.0,18.1,0.0,0.74,87.9,1.8206,24.0,666.0,20.2,68.95,8.4
195,5.871,13.34,2.37857,0.0,18.1,0.0,0.583,41.9,3.724,24.0,666.0,20.2,370.73,20.6
196,6.004,17.1,0.17004,12.5,7.87,0.0,0.524,85.9,6.5921,5.0,311.0,15.2,386.71,18.9
197,6.212,17.6,8.98296,0.0,18.1,1.0,0.77,97.4,2.1222,24.0,666.0,20.2,377.73,17.8
198,5.972,9.97,0.3494,0.0,9.9,0.0,0.544,76.7,3.1025,4.0,304.0,18.4,396.24,20.3
199,5.093,29.68,0.20746,0.0,27.74,0.0,0.609,98.0,1.8226,4.0,711.0,20.1,318.43,8.1
200,6.485,18.85,9.96654,0.0,18.1,0.0,0.74,100.0,1.9784,24.0,666.0,20.2,386.73,15.4
201,6.127,8.58,0.08265,0.0,13.92,0.0,0.437,18.4,5.5027,4.0,289.0,16.0,396.9,23.9
202,7.393,16.74,8.24809,0.0,18.1,0.0,0.713,99.3,2.4527,24.0,666.0,20.2,375.87,17.8
203,6.552,3.76,0.44178,0.0,6.2,0.0,0.504,21.4,3.3751,8.0,307.0,17.4,380.34,31.5
204,5.868,9.97,0.06617,0.0,3.24,0.0,0.46,25.8,5.2146,4.0,430.0,16.9,382.44,19.3
205,6.75,7.74,5.70818,0.0,18.1,0.0,0.532,74.9,3.3317,24.0,666.0,20.2,393.07,23.7
206,5.822,15.03,0.32982,0.0,21.89,0.0,0.624,95.4,2.4699,4.0,437.0,21.2,388.69,18.4
207,5.628,16.65,2.15505,0.0,19.58,0.0,0.871,100.0,1.5166,5.0,403.0,14.7,169.27,15.6
208,6.8,5.03,0.02187,60.0,2.93,0.0,0.401,9.9,6.2196,1.0,265.0,15.6,393.37,31.1
209,6.375,9.38,0.14052,0.0,10.59,0.0,0.489,32.3,3.9454,4.0,277.0,18.6,385.81,28.1
210,7.236,6.93,0.05515,33.0,2.18,0.0,0.472,41.1,4.022,7.0,222.0,18.4,393.68,36.1
211,5.869,9.8,0.03427,0.0,5.19,0.0,0.515,46.3,5.2311,5.0,224.0,20.2,396.9,19.5
212,6.897,11.38,0.11329,30.0,4.93,0.0,0.428,54.3,6.3361,6.0,300.0,16.6,391.25,22.0
213,8.78,5.29,3.47428,0.0,18.1,1.0,0.718,82.9,1.9047,24.0,666.0,20.2,354.55,21.9
214,6.975,4.56,0.0315,95.0,1.47,0.0,0.403,15.3,7.6534,3.0,402.0,17.0,396.9,34.9
215,5.713,17.11,6.96215,0.0,18.1,0.0,0.7,97.0,1.9265,24.0,666.0,20.2,394.43,15.1
216,6.454,14.59,0.35233,0.0,21.89,0.0,0.624,98.4,1.8498,4.0,437.0,21.2,394.08,17.1
217,6.481,6.36,0.08244,30.0,4.93,0.0,0.428,18.5,6.1899,6.0,300.0,16.6,379.41,23.7
218,5.933,9.68,0.06417,0.0,5.96,0.0,0.499,68.2,3.3603,5.0,279.0,19.2,396.9,18.9
219,6.431,15.39,0.32543,0.0,21.89,0.0,0.624,98.8,1.8125,4.0,437.0,21.2,396.9,18.0
220,6.167,16.29,4.34879,0.0,18.1,0.0,0.58,84.0,3.0334,24.0,666.0,20.2,396.9,19.9
221,5.594,13.09,0.13554,12.5,6.07,0.0,0.409,36.8,6.498,4.0,345.0,18.9,396.9,17.4
222,6.762,9.5,0.1265,25.0,5.13,0.0,0.453,43.4,7.9809,8.0,284.0,19.7,395.58,25.0
223,5.879,17.58,0.09849,0.0,25.65,0.0,0.581,95.8,2.0063,2.0,188.0,19.1,379.38,18.8
224,6.781,7.67,0.11432,0.0,8.56,0.0,0.52,71.3,2.8561,5.0,384.0,20.9,395.58,26.5
225,6.319,11.1,2.3004,0.0,19.58,0.0,0.605,96.1,2.1,5.0,403.0,14.7,297.09,23.8
226,5.924,16.3,0.75026,0.0,8.14,0.0,0.538,94.1,4.3996,4.0,307.0,21.0,394.33,15.6
227,6.122,5.98,0.79041,0.0,9.9,0.0,0.544,52.8,2.6403,4.0,304.0,18.4,396.9,22.1
228,6.456,6.73,0.11027,25.0,5.13,0.0,0.453,67.8,7.2255,8.0,284.0,19.7,396.9,22.2
229,7.358,4.73,0.51183,0.0,6.2,0.0,0.507,71.6,4.148,8.0,307.0,17.4,390.07,31.5
230,5.427,18.14,8.05579,0.0,18.1,0.0,0.584,95.4,2.4298,24.0,666.0,20.2,352.58,13.8
